,price_x,type_x,address_x,url,agent_url,number_bedrooms,District Name,Latitude,Longitude,Latitude_a,Longitude_a,county,Postcode_complete,suburb,Cluster Label,address,price_y,type_y,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
30,1452,1 bedroom flat,"Fulham Broadway, Fulham, London, SW6",http://www.rightmove.co.uk/property-to-rent/property-87204491.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Fulham-Broadway-15948.html,1.0,Fulham,51.5073219,-0.1276474,51.4808834,-0.1943493,London Borough of Hammersmith and Fulham,SW6 1DS,Walham Green,15,"Fulham Broadway, Fulham, London, SW6",1452,1 bedroom flat,Coffee Shop,Pub,Café,Soccer Stadium,Pizza Place,Fast Food Restaurant,Sporting Goods Shop,Gym / Fitness Center,Gastropub,Supermarket,Grocery Store,Mediterranean Restaurant,Thai Restaurant,Middle Eastern Restaurant,Modern European Restaurant,Brazilian Restaurant,Sports Bar,Museum,Burger Joint,Music Venue
31,2817,2 bedroom flat,"Treport Street, Wandsworth, London, SW18",http://www.rightmove.co.uk/property-to-rent/property-87204449.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Earlsfield-84859.html,2.0,Wandsworth,51.5073219,-0.1276474,51.4501583,-0.1893109,London Borough of Wandsworth,SW18 2BW,Earlsfield,5,"Treport Street, Wandsworth, London, SW18",2817,2 bedroom flat,Gym,Café,Pub,Park,Grocery Store,Music Venue,Italian Restaurant,Indoor Play Area,Hotel,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Field,Filipino Restaurant,Film Studio,Flea Market,Fish Market,Fabric Shop
32,1450,1 bedroom apartment,"Littlecombe Close, LONDON",http://www.rightmove.co.uk/property-to-rent/property-66827874.html,http://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Putney-Lettings-7110.html,1.0,,,,51.4551583,-0.2177758,London Borough of Wandsworth,SW15 3HD,Southfields,9,"Littlecombe Close, LONDON",1450,1 bedroom apartment,Scenic Lookout,Bus Stop,Pub,Business Service,Zoo Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Fish Market,Flower Shop,Flea Market,Exhibit,Food,Food & Drink Shop
33,1800,2 bedroom flat,"Woodstock Road, Golders Green, London, NW11",http://www.rightmove.co.uk/property-to-rent/property-75332752.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Temple-Fortune-87812.html,2.0,Golders Green,41.332052,19.8048247,51.5731554,-0.2017089,London Borough of Barnet,NW11 8QE,Golders Green,15,"Woodstock Road, Golders Green, London, NW11",1800,2 bedroom flat,Coffee Shop,Korean Restaurant,Café,Grocery Store,Bakery,Bus Stop,Falafel Restaurant,Japanese Restaurant,Turkish Restaurant,Pharmacy,BBQ Joint,Sushi Restaurant,Fast Food Restaurant,Kosher Restaurant,Sandwich Place,Italian Restaurant,Middle Eastern Restaurant,Pub,Mediterranean Restaurant,Ice Cream Shop
34,2253,3 bedroom flat,"Norwood Road, SE27",http://www.rightmove.co.uk/property-to-rent/property-87204365.html,http://www.rightmove.co.uk/estate-agents/agent/Keating-Estates/Clapham-6280.html,3.0,West Norwood,51.4282223,-0.0955917,51.4351987,-0.1039499,London Borough of Lambeth,SE27 9DJ,West Norwood,19,"Norwood Road, SE27",2253,3 bedroom flat,Pub,Grocery Store,Italian Restaurant,Café,Bakery,Record Shop,Sandwich Place,Train Station,Performing Arts Venue,Thrift / Vintage Store,Coffee Shop,Pharmacy,Farmers Market,Gym / Fitness Center,Bus Stop,Recreation Center,Breakfast Spot,Flower Shop,Flea Market,Food & Drink Shop
35,2999,1 bedroom apartment,"Albert Embankment, Lambeth, London, SE1",http://www.rightmove.co.uk/property-to-rent/property-66827664.html,http://www.rightmove.co.uk/estate-agents/agent/Savills-Lettings/Waterfront-117466.html,1.0,Head district,51.4893335,-0.1440551,51.4940986,-0.1206703,London Borough of Lambeth,SE1,Vauxhall,2,"Albert Embankment, Lambeth, London, SE1",2999,1 bedroom apartment,Restaurant,Café,Hotel,Pub,Coffee Shop,Park,Pizza Place,Art Gallery,Toy / Game Store,Lounge,Pharmacy,Bar,Concert Hall,Garden,Chinese Restaurant,Gym / Fitness Center,Breakfast Spot,Theme Park Ride / Attraction,Palace,Tennis Court
36,2200,2 bedroom apartment,"Eastfields Avenue, London, SW18",http://www.rightmove.co.uk/property-to-rent/property-87204350.html,http://www.rightmove.co.uk/estate-agents/agent/Rosewood-Estates/London-63096.html,2.0,Wandsworth,51.5073219,-0.1276474,51.4621872,-0.1980994,London Borough of Wandsworth,SW18 1NN,Earlsfield,9,"Eastfields Avenue, London, SW18",2200,2 bedroom apartment,Pub,Italian Restaurant,Sports Club,Modern European Restaurant,Pier,Mini Golf,Convenience Store,Grocery Store,Gym,Park,Playground,Filipino Restaurant,Farm,Farmers Market,Fast Food Restaurant,Falafel Restaurant,Field,Fish & Chips Shop,Film Studio,Fabric Shop
37,1900,2 bedroom apartment,"Oxborough House, 33 Eltringham Street, London, SW18",http://www.rightmove.co.uk/property-to-rent/property-66827652.html,http://www.rightmove.co.uk/estate-agents/agent/Savills-Lettings/Wandsworth-49027.html,2.0,Wandsworth,51.5073219,-0.1276474,51.4572,-0.1928,,SW18,,1,"Oxborough House, 33 Eltringham Street, London, SW18",1900,2 bedroom apartment,Coffee Shop,Pub,Clothing Store,Supermarket,Pizza Place,Gym / Fitness Center,Asian Restaurant,Sandwich Place,Chaat Place,Breakfast Spot,Organic Grocery,Optical Shop,Chocolate Shop,Bookstore,Stationery Store,Restaurant,Hotel,Bakery,Portuguese Restaurant,Burger Joint
38,1473,Studio apartment,"Caledonia House, City Island, Canning Town, E14",http://www.rightmove.co.uk/property-to-rent/property-66827637.html,http://www.rightmove.co.uk/estate-agents/agent/Ernest-Brooks-International/London-162914.html,0.0,Poplar,51.514947,-0.0930461,32.5257,-91.98763,Ouachita Parish,,,16,"Caledonia House, City Island, Canning Town, E14",1473,Studio apartment,Convenience Store,Paper / Office Supplies Store,Zoo Exhibit,Flea Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Fish Market,Flower Shop,Exhibit,Food,Food & Drink Shop,Food Court,Food Stand
39,1993,1 bedroom apartment,"West Tower, Pan Peninsula, Canary Wharf E14",http://www.rightmove.co.uk/property-to-rent/property-66827631.html,http://www.rightmove.co.uk/estate-agents/agent/Chase-Evans/Pan-Peninsula-76478.html,1.0,Poplar,51.514947,-0.0930461,51.5062,-0.0196,,E14,,1,"West Tower, Pan Peninsula, Canary Wharf E14",1993,1 bedroom apartment,Coffee Shop,Park,Café,Italian Restaurant,Sandwich Place,Burger Joint,Plaza,Gym / Fitness Center,Sushi Restaurant,Bakery,Street Food Gathering,Pizza Place,Shopping Mall,Bookstore,Spanish Restaurant,Smoothie Shop,Spa,Mexican Restaurant,Fish Market,Fried Chicken Joint
40,5850,3 bedroom apartment,"North Audley Street, Mayfair, London, W1K",http://www.rightmove.co.uk/property-to-rent/property-87204311.html,http://www.rightmove.co.uk/estate-agents/agent/Savills-Lettings/Mayfair-49608.html,3.0,,,,51.5085,-0.1257,,W1K,,0,"North Audley Street, Mayfair, London, W1K",5850,3 bedroom apartment,Theater,Hotel,Pub,French Restaurant,Pizza Place,Ice Cream Shop,Plaza,Garden,Wine Bar,Steakhouse,Outdoor Sculpture,Arts & Crafts Store,Mexican Restaurant,Cocktail Bar,Coffee Shop,Asian Restaurant,English Restaurant,Art Museum,Restaurant,Sushi Restaurant
41,3466,2 bedroom apartment,"Hill House, Archway, N19",http://www.rightmove.co.uk/property-to-rent/property-66827604.html,http://www.rightmove.co.uk/estate-agents/agent/Home-Made/London-156986.html,2.0,Upper Holloway,51.4893335,-0.1440551,51.5654371,-0.1349977,London Borough of Islington,N19 5FF,Upper Holloway,15,"Hill House, Archway, N19",3466,2 bedroom apartment,Coffee Shop,Grocery Store,Pub,Italian Restaurant,Bar,Pizza Place,Supermarket,Gym / Fitness Center,Middle Eastern Restaurant,Farmers Market,Fast Food Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,Asian Restaurant,Hotel,Gastropub,Indian Restaurant,Japanese Restaurant,Café,Kebab Restaurant
42,1200,1 bedroom property,"Station Road, Finchley Central",http://www.rightmove.co.uk/property-to-rent/property-87204299.html,http://www.rightmove.co.uk/estate-agents/agent/Finchleys-Estate-Agents/Finchley-49962.html,1.0,,,,51.6009426,-0.1926975,London Borough of Barnet,N3 2RY,Church End,5,"Station Road, Finchley Central",1200,1 bedroom property,Café,Supermarket,Turkish Restaurant,Pub,Japanese Restaurant,Pizza Place,Indian Restaurant,Middle Eastern Restaurant,Vietnamese Restaurant,Park,Toy / Game Store,Persian Restaurant,Sandwich Place,Fast Food Restaurant,Bakery,Hookah Bar,Chinese Restaurant,Coffee Shop,Korean Restaurant,Ice Cream Shop
